Bairro,Categoria,bairro_por_area
Acarape,Apartamentos,72
Acarape,Casas,188.5
Aeroporto,Apartamentos,72.57
Aeroporto,Casas,233.83
Alto Alegre,Apartamentos,77.0
Alto Alegre,Casas,164.0
Angelim,Apartamentos,49.330000000000005
Angelim,Casas,149.0
Aroeiras,Apartamentos,50.330000000000005
Aroeiras,Casas,108.14
Bela Vista,Apartamentos,53.0
Bela Vista,Casas,199.62
Boa Esperança,Apartamentos,184.81
Boa Esperança,Casas,170.0
Bom Princípio,Apartamentos,48.0
Bom Princípio,Casas,104.90333333333334
Buenos Aires,Apartamentos,161.80666666666667
Buenos Aires,Casas,218.71
Cabral,Apartamentos,97.38
Cabral,Casas,100.0
Campestre,Apartamentos,75.22
Campestre,Casas,321.45
Catarina,Apartamentos,245.225
Catarina,Casas,169.0
Centro,Apartamentos,103.86
Centro,Casas,282.32
Cidade Jardim,Apartamentos,48.4
Cidade Jardim,Casas,114.4
Cidade Nova,Apartamentos,55.309999999999995
Cidade Nova,Casas,55.905
Colorado,Apartamentos,56.5
Colorado,Casas,70.66666666666667
Comprida,Apartamentos,84.83333333333333
Comprida,Casas,99.0
Cristo Rei,Apartamentos,70.4
Cristo Rei,Casas,260.0
Esplanada,Apartamentos,190.0
Esplanada,Casas,120.0
Extrema,Apartamentos,160.0
Extrema,Casas,200.0
Frei Higino,Apartamentos,194.0
Frei Higino,Casas,188.0
Frei Serafim,Apartamentos,153.93
Frei Serafim,Casas,142.035
Fátima,Apartamentos,130.14
Fátima,Casas,254.81
Gurupi,Apartamentos,60.660000000000004
Gurupi,Casas,187.37
Horto,Apartamentos,100.8
Horto,Casas,222.41000000000003
Ilhotas,Apartamentos,115.97
Ilhotas,Casas,233.0
Ininga,Apartamentos,103.56
Ininga,Casas,264.82
Itararé,Apartamentos,50.57
Itararé,Casas,173.4
Jacinta Andrade,Apartamentos,124.2
Jacinta Andrade,Casas,75.0
João XXIII,Apartamentos,117.5
João XXIII,Casas,160.0
Jóquei,Apartamentos,151.29
Jóquei,Casas,310.25
Livramento,Apartamentos,45.0
Livramento,Casas,50.5
Lourival Parente,Apartamentos,56.0
Lourival Parente,Casas,167.8
Macaúba,Apartamentos,61.38
Macaúba,Casas,132.0
Mafuá,Apartamentos,143.83499999999998
Mafuá,Casas,155.67
Marquês,Apartamentos,76.67
Marquês,Casas,128.25
Matadouro,Apartamentos,142.625
Matadouro,Casas,157.0
Memorare,Apartamentos,89.0
Memorare,Casas,210.5
Mocambinho,Apartamentos,176.375
Mocambinho,Casas,142.25
Monte Castelo,Apartamentos,79.14
Monte Castelo,Casas,181.0
Morada Nova,Apartamentos,60.0
Morada Nova,Casas,138.0
Morada do Sol,Apartamentos,74.0
Morada do Sol,Casas,272.07
Morro da Esperança,Apartamentos,236.035
Morro da Esperança,Casas,200.0
Morros,Apartamentos,66.1
Morros,Casas,139.55
Noivos,Apartamentos,99.03999999999999
Noivos,Casas,325.67
Nossa Senhora das Graças,Apartamentos,63.71
Nossa Senhora das Graças,Casas,106.85499999999999
Nova Brasília,Apartamentos,150.0
Nova Brasília,Casas,104.535
Novo Horizonte,Apartamentos,59.07
Novo Horizonte,Casas,95.0
Novo Uruguai,Apartamentos,173.5
Novo Uruguai,Casas,252.0
Núcleo Urbano Fazenda Real,Apartamentos,153.0
Núcleo Urbano Fazenda Real,Casas,286.67
Parque Alvorada,Apartamentos,232.835
Parque Alvorada,Casas,179.0
Parque Brasil,Apartamentos,170.16500000000002
Parque Brasil,Casas,161.33
Parque Ideal,Apartamentos,57.75
Parque Ideal,Casas,291.25
Parque Piauí,Apartamentos,68.0
Parque Piauí,Casas,146.4
Parque Poti,Apartamentos,103.0
Parque Poti,Casas,155.5
Parque Sul,Apartamentos,50.0
Parque Sul,Casas,60.5
Parque São João,Apartamentos,121.085
Parque São João,Casas,181.67
Pedra Miúda,Apartamentos,125.835
Pedra Miúda,Casas,70.0
Pedra Mole,Apartamentos,82.61
Pedra Mole,Casas,95.22
Piçarra,Apartamentos,73.62
Piçarra,Casas,118.0
Piçarreira,Apartamentos,67.9
Piçarreira,Casas,168.0
Planalto,Apartamentos,69.0
Planalto,Casas,323.89
Porenquanto,Apartamentos,81.0
Porenquanto,Casas,112.66666666666667
Portal da Alegria,Apartamentos,144.33333333333334
Portal da Alegria,Casas,176.0
Porto do Centro,Apartamentos,82.25
Porto do Centro,Casas,160.45
Primavera,Apartamentos,59.169999999999995
Primavera,Casas,188.17
Promorar,Apartamentos,150.58499999999998
Promorar,Casas,113.0
Real Copagri,Apartamentos,111.5
Real Copagri,Casas,110.0
Recanto das Palmeiras,Apartamentos,79.25
Recanto das Palmeiras,Casas,312.0
Reis Veloso,Apartamentos,246.0
Reis Veloso,Casas,180.0
Renascença,Apartamentos,55.0
Renascença,Casas,102.67
Rodoviária,Apartamentos,108.83500000000001
Rodoviária,Casas,115.0
Saci,Apartamentos,141.265
Saci,Casas,167.53
Samapi,Apartamentos,114.0
Samapi,Casas,152.67
Santa Cruz,Apartamentos,197.0
Santa Cruz,Casas,241.33
Santa Isabel,Apartamentos,71.9
Santa Isabel,Casas,250.09999999999997
Santa Lia,Apartamentos,60.22
Santa Lia,Casas,263.0
Santa Luzia,Apartamentos,70.0
Santa Luzia,Casas,58.2
Santa Maria,Apartamentos,46.4
Santa Maria,Casas,86.5
Santa Rosa,Apartamentos,50.0
Santa Rosa,Casas,88.0
Santo Antônio,Apartamentos,50.0
Santo Antônio,Casas,210.0
Satélite,Apartamentos,58.5
Satélite,Casas,180.94
Socopo,Apartamentos,440.0
Socopo,Casas,338.2
São Cristóvão,Apartamentos,100.54
São Cristóvão,Casas,291.59
São João,Apartamentos,72.81
São João,Casas,276.76
São Pedro,Apartamentos,105.33
São Pedro,Casas,139.67
São Sebastião,Apartamentos,78.6
São Sebastião,Casas,117.6
Tabajaras,Apartamentos,48.0
Tabajaras,Casas,257.67
Tabuleta,Apartamentos,78.0
Tabuleta,Casas,225.0
Tancredo Neves,Apartamentos,49.5
Tancredo Neves,Casas,52.35
Todos os Santos,Apartamentos,55.2
Todos os Santos,Casas,64.1
Triunfo,Apartamentos,73.0
Triunfo,Casas,70.5
Três Andares,Apartamentos,68.0
Três Andares,Casas,186.5
Uruguai,Apartamentos,61.84
Uruguai,Casas,295.01
Vale Quem Tem,Apartamentos,54.96
Vale Quem Tem,Casas,149.87
Vale do Gavião,Apartamentos,49.68
Vale do Gavião,Casas,72.75
Verde Lar,Apartamentos,117.44500000000001
Verde Lar,Casas,162.14000000000001
Verdecap,Apartamentos,111.57000000000001
