Categoria,Area construida,Preço,Quartos,Banheiros,Vagas,Bairro
Apartamentos,210m²,1100000,3,4,4,Fátima
Apartamentos,50m²,115000,2,1,1,Vale do Gavião
Casas,210m²,1450000,4,5 ou mais,4,Gurupi
Casas,140m²,690000,4,4,2,Zoobotânico
Casas,66m²,110000,2,2,1,
Casas,260m²,795000,3,4,2,Santa Lia
Apartamentos,227m²,2300000,4,1,3,Jóquei
Casas,174m²,600000,3,3,4,Santa Isabel
Apartamentos,304m²,2300000,4,5 ou mais,4,Jóquei
Apartamentos,192m²,820000,3,3,2,Frei Serafim
Casas,170m²,600000,4,4,5 ou mais,
Apartamentos,47m²,135000,2,1,1,Cidade Nova
Apartamentos,55m²,320046,2,2,1,Primavera
Casas,422m²,700000,4,5 ou mais,5 ou mais,Santa Lia
Casas,360m²,960000,3,3,4,Santa Isabel
Casas,110m²,200000,3,2,1,Real Copagri
Casas,544m²,1300000,4,4,,Jóquei
Apartamentos,64m²,390000,2,1,1,Fátima
Apartamentos,85m²,650000,3,1,2,Jóquei
Apartamentos,303m²,2757000,5 ou mais,1,4,Jóquei
Apartamentos,89m²,119900,4,2,1,Memorare
Apartamentos,73m²,254000,3,1,1,Triunfo
Casas,142m²,990000,3,3,2,Uruguai
Apartamentos,100m²,310000,3,3,2,São João
Casas,218m²,750000,5 ou mais,5 ou mais,5 ou mais,Ininga
Apartamentos,180m²,1480000,3,4,3,São Cristóvão
Apartamentos,56m²,254054,2,2,1,Uruguai
Apartamentos,47m²,213490,2,1,1,Cristo Rei
Apartamentos,58m²,220000,2,1,1,Santa Isabel
Apartamentos,50m²,530000,3,1,1,Jóquei
Apartamentos,66m²,280000,3,2,1,Gurupi
Apartamentos,67m²,300000,3,2,2,Gurupi
Casas,216m²,1100000,4,5 ou mais,4,Uruguai
Apartamentos,67m²,410000,2,2,1,Jóquei
Apartamentos,48m²,130000,2,1,1,Morros
Apartamentos,46m²,130000,2,1,1,Vale do Gavião
Casas,200m²,450000,2,1,1,Mocambinho
Apartamentos,74m²,360000,3,2,1,Santa Isabel
Casas,107m²,578610,4,5 ou mais,2,Morros
Apartamentos,85m²,535000,3,2,2,Ilhotas
Apartamentos,75m²,290000,3,2,1,Piçarreira
Apartamentos,90m²,460000,3,2,2,Jóquei
Apartamentos,224m²,1800000,3,4,3,Jóquei
Casas,115m²,280000,3,2,2,Rodoviária
Apartamentos,75m²,350000,3,2,1,Santa Isabel
Apartamentos,79m²,735000,2,3,2,Fátima
Apartamentos,80m²,760000,3,2,2,Fátima
Apartamentos,65m²,220000,3,2,1,Uruguai
Apartamentos,115m²,215000,3,2,1,Aeroporto
Apartamentos,60m²,517000,1,2,1,Jóquei
Casas,160m²,680000,4,5 ou mais,2,Morros
Apartamentos,100m²,0,3,2,1,Santa Luzia
Apartamentos,71m²,220000,2,2,1,Horto
Casas,210m²,1150000,4,4,2,Morros
Apartamentos,69m²,450000,3,2,2,Horto
Casas,351m²,850000,5 ou mais,5 ou mais,5 ou mais,Centro
Casas,105m²,380000,2,1,1,Piçarreira
Apartamentos,61m²,300000,2,1,2,Santa Isabel
Apartamentos,64m²,180000,3,2,1,Gurupi
Casas,270m²,750000,3,1,3,Morros
Apartamentos,64m²,180000,3,2,1,Gurupi
Apartamentos,250m²,1300000,5 ou mais,5 ou mais,1,Centro
Casas,380m²,600000,4,5 ou mais,4,São Cristóvão
Casas,135m²,340000,3,3,2,Parque Ideal
Apartamentos,51m²,179000,2,1,1,Aroeiras
Casas,200m²,550000,3,3,0,São Cristóvão
Apartamentos,83m²,630000,2,3,1,Jóquei
Apartamentos,76m²,280000,3,2,1,Horto
Casas,303m²,850000,4,4,4,Fátima
Apartamentos,60m²,185000,3,2,1,Vale Quem Tem
Casas,233m²,960000,3,3,4,Santa Isabel
Apartamentos,130m²,770000,3,2,2,Fátima
Apartamentos,82m²,630000,3,4,2,Jóquei
Casas,280m²,1150000,4,5 ou mais,4,Morros
Apartamentos,68m²,280000,3,2,1,Piçarreira
Casas,90m²,414000,3,2,2,Gurupi
Apartamentos,80m²,560000,3,4,2,Horto
Apartamentos,72m²,398000,3,3,2,Noivos
Apartamentos,56m²,180000,3,1,1,Novo Horizonte
Casas,233m²,960000,3,3,4,Santa Isabel
Casas,600m²,680000,4,1,5 ou mais,Parque Ideal
Casas,10m²,850000,4,2,5 ou mais,Lourival Parente
Apartamentos,77m²,370000,2,3,1,Campestre
Apartamentos,105m²,650000,3,2,2,Fátima
Apartamentos,75m²,420000,3,2,1,Santa Isabel
Casas,350m²,850000,5 ou mais,5 ou mais,4,Ininga
Apartamentos,66m²,315000,3,2,1,Gurupi
Apartamentos,62m²,340000,3,2,2,São João
Apartamentos,45m²,199000,2,2,1,Uruguai
Apartamentos,59m²,220000,3,2,1,Parque Ideal
Apartamentos,67m²,300000,3,2,2,Gurupi
Apartamentos,106m²,850000,3,4,2,Horto
Apartamentos,41m²,339992,1,1,1,Ininga
Apartamentos,128m²,1000000,3,4,2,Fátima
Apartamentos,202m²,1200000,5 ou mais,5 ou mais,3,Fátima
Apartamentos,67m²,140000,3,2,1,Novo Horizonte
Apartamentos,141m²,1270000,3,4,3,Fátima
Apartamentos,72m²,460000,2,3,2,São Cristóvão
Apartamentos,227m²,1900000,3,4,4,Jóquei
Apartamentos,77m²,240000,3,1,1,Campestre
