,Categoria,Area construida,Preço,Quartos,Banheiros,Vagas,Bairro
0,Apartamentos,210.0,1100000.0,3,4,4,Fátima
1,Apartamentos,50.0,115000.0,2,1,1,Vale do Gavião
2,Casas,210.0,1450000.0,4,5,4,Gurupi
3,Casas,140.0,690000.0,4,4,2,Zoobotânico
5,Casas,260.0,795000.0,3,4,2,Santa Lia
6,Apartamentos,227.0,2300000.0,4,1,3,Jóquei
7,Casas,174.0,600000.0,3,3,4,Santa Isabel
8,Apartamentos,304.0,2300000.0,4,5,4,Jóquei
9,Apartamentos,192.0,820000.0,3,3,2,Frei Serafim
11,Apartamentos,47.0,135000.0,2,1,1,Cidade Nova
12,Apartamentos,55.0,320046.0,2,2,1,Primavera
13,Casas,422.0,700000.0,4,5,5,Santa Lia
14,Casas,360.0,960000.0,3,3,4,Santa Isabel
15,Casas,110.0,200000.0,3,2,1,Real Copagri
16,Casas,544.0,1300000.0,4,4,2,Jóquei
17,Apartamentos,64.0,390000.0,2,1,1,Fátima
18,Apartamentos,85.0,650000.0,3,1,2,Jóquei
19,Apartamentos,303.0,2757000.0,5,1,4,Jóquei
20,Apartamentos,89.0,119900.0,4,2,1,Memorare
21,Apartamentos,73.0,254000.0,3,1,1,Triunfo
22,Casas,142.0,990000.0,3,3,2,Uruguai
23,Apartamentos,100.0,310000.0,3,3,2,São João
24,Casas,218.0,750000.0,5,5,5,Ininga
25,Apartamentos,180.0,1480000.0,3,4,3,São Cristóvão
26,Apartamentos,56.0,254054.0,2,2,1,Uruguai
27,Apartamentos,47.0,213490.0,2,1,1,Cristo Rei
28,Apartamentos,58.0,220000.0,2,1,1,Santa Isabel
29,Apartamentos,50.0,530000.0,3,1,1,Jóquei
30,Apartamentos,66.0,280000.0,3,2,1,Gurupi
31,Apartamentos,67.0,300000.0,3,2,2,Gurupi
32,Casas,216.0,1100000.0,4,5,4,Uruguai
33,Apartamentos,67.0,410000.0,2,2,1,Jóquei
34,Apartamentos,48.0,130000.0,2,1,1,Morros
35,Apartamentos,46.0,130000.0,2,1,1,Vale do Gavião
36,Casas,200.0,450000.0,2,1,1,Mocambinho
37,Apartamentos,74.0,360000.0,3,2,1,Santa Isabel
38,Casas,107.0,578610.0,4,5,2,Morros
39,Apartamentos,85.0,535000.0,3,2,2,Ilhotas
